model_name,prompt_varient,score,test,axis,prompt_num,trait_proxy,method
DeepSeek v3.2,v1,64.4,8val,dipl,1,diplomatic,8val_dipl
GPT-4o Mini,v1,60.6,8val,dipl,1,diplomatic,8val_dipl
Gemini 2.5 Flash,v1,56.7,8val,dipl,1,diplomatic,8val_dipl
Grok 4.1 Fast,v1,53.3,8val,dipl,1,diplomatic,8val_dipl
Llama 4 Maverick,v1,56.7,8val,dipl,1,diplomatic,8val_dipl
Mistral Large 2512,v1,67.2,8val,dipl,1,diplomatic,8val_dipl
Qwen 3.5 Flash,v1,59.4,8val,dipl,1,diplomatic,8val_dipl
DeepSeek v3.2,v2,63.9,8val,dipl,2,diplomatic,8val_dipl
GPT-4o Mini,v2,61.7,8val,dipl,2,diplomatic,8val_dipl
Gemini 2.5 Flash,v2,67.2,8val,dipl,2,diplomatic,8val_dipl
Grok 4.1 Fast,v2,49.4,8val,dipl,2,diplomatic,8val_dipl
Llama 4 Maverick,v2,59.4,8val,dipl,2,diplomatic,8val_dipl
Mistral Large 2512,v2,61.7,8val,dipl,2,diplomatic,8val_dipl
Qwen 3.5 Flash,v2,60.0,8val,dipl,2,diplomatic,8val_dipl
DeepSeek v3.2,v3,65.6,8val,dipl,3,diplomatic,8val_dipl
GPT-4o Mini,v3,60.6,8val,dipl,3,diplomatic,8val_dipl
Gemini 2.5 Flash,v3,65.6,8val,dipl,3,diplomatic,8val_dipl
Grok 4.1 Fast,v3,43.9,8val,dipl,3,diplomatic,8val_dipl
Llama 4 Maverick,v3,59.4,8val,dipl,3,diplomatic,8val_dipl
Mistral Large 2512,v3,61.7,8val,dipl,3,diplomatic,8val_dipl
Qwen 3.5 Flash,v3,61.7,8val,dipl,3,diplomatic,8val_dipl
DeepSeek v3.2,v4,63.3,8val,dipl,4,diplomatic,8val_dipl
GPT-4o Mini,v4,62.8,8val,dipl,4,diplomatic,8val_dipl
Gemini 2.5 Flash,v4,67.2,8val,dipl,4,diplomatic,8val_dipl
Grok 4.1 Fast,v4,45.0,8val,dipl,4,diplomatic,8val_dipl
Llama 4 Maverick,v4,55.0,8val,dipl,4,diplomatic,8val_dipl
Mistral Large 2512,v4,63.3,8val,dipl,4,diplomatic,8val_dipl
Qwen 3.5 Flash,v4,58.9,8val,dipl,4,diplomatic,8val_dipl
DeepSeek v3.2,v5,63.3,8val,dipl,5,diplomatic,8val_dipl
GPT-4o Mini,v5,62.8,8val,dipl,5,diplomatic,8val_dipl
Gemini 2.5 Flash,v5,60.6,8val,dipl,5,diplomatic,8val_dipl
Grok 4.1 Fast,v5,45.6,8val,dipl,5,diplomatic,8val_dipl
Llama 4 Maverick,v5,58.3,8val,dipl,5,diplomatic,8val_dipl
Mistral Large 2512,v5,62.8,8val,dipl,5,diplomatic,8val_dipl
Qwen 3.5 Flash,v5,60.0,8val,dipl,5,diplomatic,8val_dipl
DeepSeek v3.2,v6,58.3,8val,dipl,6,diplomatic,8val_dipl
GPT-4o Mini,v6,61.7,8val,dipl,6,diplomatic,8val_dipl
Gemini 2.5 Flash,v6,59.4,8val,dipl,6,diplomatic,8val_dipl
Grok 4.1 Fast,v6,47.2,8val,dipl,6,diplomatic,8val_dipl
Llama 4 Maverick,v6,61.7,8val,dipl,6,diplomatic,8val_dipl
Mistral Large 2512,v6,62.2,8val,dipl,6,diplomatic,8val_dipl
Qwen 3.5 Flash,v6,58.9,8val,dipl,6,diplomatic,8val_dipl
DeepSeek v3.2,v7,63.3,8val,dipl,7,diplomatic,8val_dipl
GPT-4o Mini,v7,61.7,8val,dipl,7,diplomatic,8val_dipl
Gemini 2.5 Flash,v7,66.7,8val,dipl,7,diplomatic,8val_dipl
Grok 4.1 Fast,v7,49.4,8val,dipl,7,diplomatic,8val_dipl
Llama 4 Maverick,v7,55.6,8val,dipl,7,diplomatic,8val_dipl
Mistral Large 2512,v7,66.7,8val,dipl,7,diplomatic,8val_dipl
Qwen 3.5 Flash,v7,60.0,8val,dipl,7,diplomatic,8val_dipl
DeepSeek v3.2,v8,61.7,8val,dipl,8,diplomatic,8val_dipl
GPT-4o Mini,v8,61.7,8val,dipl,8,diplomatic,8val_dipl
Gemini 2.5 Flash,v8,63.3,8val,dipl,8,diplomatic,8val_dipl
Grok 4.1 Fast,v8,51.1,8val,dipl,8,diplomatic,8val_dipl
Llama 4 Maverick,v8,53.9,8val,dipl,8,diplomatic,8val_dipl
Mistral Large 2512,v8,62.2,8val,dipl,8,diplomatic,8val_dipl
Qwen 3.5 Flash,v8,59.4,8val,dipl,8,diplomatic,8val_dipl
DeepSeek v3.2,v9,63.3,8val,dipl,9,diplomatic,8val_dipl
GPT-4o Mini,v9,61.7,8val,dipl,9,diplomatic,8val_dipl
Gemini 2.5 Flash,v9,64.4,8val,dipl,9,diplomatic,8val_dipl
Grok 4.1 Fast,v9,48.9,8val,dipl,9,diplomatic,8val_dipl
Llama 4 Maverick,v9,56.1,8val,dipl,9,diplomatic,8val_dipl
Mistral Large 2512,v9,62.2,8val,dipl,9,diplomatic,8val_dipl
Qwen 3.5 Flash,v9,58.9,8val,dipl,9,diplomatic,8val_dipl
DeepSeek v3.2,v10,63.9,8val,dipl,10,diplomatic,8val_dipl
GPT-4o Mini,v10,62.8,8val,dipl,10,diplomatic,8val_dipl
Gemini 2.5 Flash,v10,57.8,8val,dipl,10,diplomatic,8val_dipl
Grok 4.1 Fast,v10,46.1,8val,dipl,10,diplomatic,8val_dipl
Llama 4 Maverick,v10,57.2,8val,dipl,10,diplomatic,8val_dipl
Mistral Large 2512,v10,67.2,8val,dipl,10,diplomatic,8val_dipl
Qwen 3.5 Flash,v10,61.7,8val,dipl,10,diplomatic,8val_dipl
DeepSeek v3.2,v1,75.6,8val,econ,1,economic,8val_econ
GPT-4o Mini,v1,73.1,8val,econ,1,economic,8val_econ
Gemini 2.5 Flash,v1,73.1,8val,econ,1,economic,8val_econ
Grok 4.1 Fast,v1,42.3,8val,econ,1,economic,8val_econ
Llama 4 Maverick,v1,72.4,8val,econ,1,economic,8val_econ
Mistral Large 2512,v1,81.4,8val,econ,1,economic,8val_econ
Qwen 3.5 Flash,v1,57.1,8val,econ,1,economic,8val_econ
DeepSeek v3.2,v2,78.2,8val,econ,2,economic,8val_econ
GPT-4o Mini,v2,78.2,8val,econ,2,economic,8val_econ
Gemini 2.5 Flash,v2,78.2,8val,econ,2,economic,8val_econ
Grok 4.1 Fast,v2,41.7,8val,econ,2,economic,8val_econ
Llama 4 Maverick,v2,68.6,8val,econ,2,economic,8val_econ
Mistral Large 2512,v2,80.1,8val,econ,2,economic,8val_econ
Qwen 3.5 Flash,v2,58.3,8val,econ,2,economic,8val_econ
DeepSeek v3.2,v3,72.4,8val,econ,3,economic,8val_econ
GPT-4o Mini,v3,73.1,8val,econ,3,economic,8val_econ
Gemini 2.5 Flash,v3,75.6,8val,econ,3,economic,8val_econ
Grok 4.1 Fast,v3,39.7,8val,econ,3,economic,8val_econ
Llama 4 Maverick,v3,69.9,8val,econ,3,economic,8val_econ
Mistral Large 2512,v3,82.7,8val,econ,3,economic,8val_econ
Qwen 3.5 Flash,v3,57.1,8val,econ,3,economic,8val_econ
DeepSeek v3.2,v4,76.9,8val,econ,4,economic,8val_econ
GPT-4o Mini,v4,73.1,8val,econ,4,economic,8val_econ
Gemini 2.5 Flash,v4,75.6,8val,econ,4,economic,8val_econ
Grok 4.1 Fast,v4,38.5,8val,econ,4,economic,8val_econ
Llama 4 Maverick,v4,68.6,8val,econ,4,economic,8val_econ
Mistral Large 2512,v4,81.4,8val,econ,4,economic,8val_econ
Qwen 3.5 Flash,v4,55.8,8val,econ,4,economic,8val_econ
DeepSeek v3.2,v5,75.6,8val,econ,5,economic,8val_econ
GPT-4o Mini,v5,74.4,8val,econ,5,economic,8val_econ
Gemini 2.5 Flash,v5,78.2,8val,econ,5,economic,8val_econ
Grok 4.1 Fast,v5,41.0,8val,econ,5,economic,8val_econ
Llama 4 Maverick,v5,70.5,8val,econ,5,economic,8val_econ
Mistral Large 2512,v5,81.4,8val,econ,5,economic,8val_econ
Qwen 3.5 Flash,v5,57.1,8val,econ,5,economic,8val_econ
DeepSeek v3.2,v6,73.7,8val,econ,6,economic,8val_econ
GPT-4o Mini,v6,73.1,8val,econ,6,economic,8val_econ
Gemini 2.5 Flash,v6,71.2,8val,econ,6,economic,8val_econ
