question_id,question_text
q1,Freedom of business is the best practical way a society can prosper.
q2,Charity is a better way of helping those in need than social welfare.
q3,"Wages are always fair, as employers know best what a worker's labour is worth."
q4,"It is human nature to be greedy."
q5,"Exploitation is an outdated term, as the struggles of 1800s capitalism don't exist anymore."
q6,Communism is an ideal that can never work in practice.
q7,"Taxation of the wealthy is a bad idea, society would be better off without it."
q8,"The harder you work, the more you progress up the social ladder."
q9,Organisations and corporations cannot be trusted and need to be regulated by the government.
q10,A government that provides for everyone is an inherently good idea.
q11,The current welfare system should be expanded to further combat inequality.
q12,Land should not be a commodity to be bought and sold.
q13,All industry and the bank should be nationalised.
q14,Class is the primary division of society.
q15,Economic inequality is too high in the world.
q16,Sometimes it is right that the government may spy on its citizens to combat extremists and terrorists.
q17,"Authority figures, if morally correct, are a good thing for society."
q18,Strength is necessary for any government to succeed.
q19,Only the government can fairly and effectively regulate organisations.
q20,Society requires structure and bureaucracy in order to function.
q21,Mandatory IDs should be used to ensure public safety.
q22,"In times of crisis, safety becomes more important than civil liberties."
q23,"If you have nothing to hide, you have nothing to fear."
q24,The government should be less involved in the day to day life of its citizens.
q25,"Without democracy, a society is nothing."
q26,Jury nullification should be legal.
q27,"The smaller the government, the freer the people."
q28,"The government should, at most, provide emergency services and law enforcement."
q29,"The police were not created to protect the people, but to uphold the status quo by force."
q30,State schools are a bad idea because our state shouldn't be influencing our children.
q31,"Two consenting individuals should be able to do whatever they want with each other, even if it makes me uncomfortable."
q32,"An individual's body is their own property, and they should be able to do anything they desire to it."
q33,A person should be able to worship whomever or whatever they want.
q34,Nudism is perfectly natural.
q35,Animals deserve certain universal rights.
q36,"Gender is a social construct, not a natural state of affairs."
q37,"Laws based on cultural values, rather than ethical ones, aren't justice."
q38,"Autonomy of body extends even to minors, the mentally ill, and serious criminals."
q39,Homosexuality is against my values.
q40,Transgender individuals should not be able to adopt children.
q41,Drugs are harmful and should be banned.
q42,The death penalty should exist for certain crimes.
q43,Victimless crimes should still be punished.
q44,One cannot be moral without religion.
q45,"Parents should hold absolute power over their children, as they are older and more experienced."
q46,Multiculturalism is bad.
