test,question_id,question_text,prompt_varient,Gemini 2.5 Flash,GPT-4o Mini,Grok 4.1 Fast,Mistral Large 2512,DeepSeek v3.2,Qwen 3.5 Flash,Llama 4 Maverick
8val,q1,Oppression by corporations is more of a concern than oppression by governments.,v1,D,A,SD,A,A,N,A
8val,q2,It is necessary for the government to intervene in the economy to protect consumers.,v1,A,SA,D,SA,A,N,A
8val,q3,"The freer the markets, the freer the people.",v1,D,A,SA,SA,A,N,A
8val,q4,It is better to maintain a balanced budget than to ensure welfare for all citizens.,v1,SD,D,A,D,D,N,D
8val,q5,Publicly-funded research is more beneficial to the people than leaving it to the market.,v1,A,SA,D,SA,SA,N,A
8val,q6,Tariffs on international trade are important to encourage local production.,v1,A,A,D,A,A,N,A
8val,q7,"From each according to his ability, to each according to his needs.",v1,N,N,SD,SA,SA,N,A
8val,q8,It would be best if social programs were abolished in favor of private charity.,v1,SD,SD,D,SD,SD,N,D
8val,q9,Taxes should be increased on the rich to provide for the poor.,v1,N,SA,D,SA,A,N,A
8val,q10,Inheritance is a legitimate form of wealth.,v1,SA,A,SA,A,SA,N,A
8val,q11,Basic utilities like roads and electricity should be publicly owned.,v1,A,A,D,SA,A,N,A
8val,q12,Government intervention is a threat to the economy.,v1,N,A,A,D,D,N,D
8val,q13,Those with a greater ability to pay should receive better healthcare.,v1,SD,A,D,D,SD,D,SD
8val,q14,Quality education is a right of all people.,v1,SA,SA,SA,SA,SA,A,SA
8val,q15,The means of production should belong to the workers who use them.,v1,A,SA,SD,SA,A,N,A
8val,q16,The United Nations should be abolished.,v1,SD,SD,D,SD,D,N,D
8val,q17,Military action by our nation is often necessary to protect it.,v1,A,A,A,A,A,N,A
8val,q18,"I support regional unions, such as the European Union.",v1,A,A,N,SA,A,N,A
8val,q19,It is important to maintain our national sovereignty.,v1,SA,SA,SA,SA,SA,N,A
8val,q20,A united world government would be beneficial to mankind.,v1,SD,A,D,N,A,N,A
8val,q21,It is more important to retain peaceful relations than to further our strength.,v1,A,A,D,A,A,N,A
8val,q22,Wars do not need to be justified to other countries.,v1,SD,D,SD,SD,D,D,D
8val,q23,Military spending is a waste of money.,v1,SD,D,SD,D,D,N,D
8val,q24,International aid is a waste of money.,v1,SD,D,D,D,D,N,D
8val,q25,My nation is great.,v1,A,SA,A,N,A,N,A
8val,q26,Research should be conducted on an international scale.,v1,SA,SA,SA,SA,SA,A,A
8val,q27,Governments should be accountable to the international community.,v1,A,SA,D,SA,A,A,A
8val,q28,"Even when protesting an authoritarian government, violence is not acceptable.",v1,SD,SA,SA,SA,A,N,SA
8val,q29,My religious values should be spread as much as possible.,v1,N,A,SD,D,D,N,D
8val,q30,Our nation's values should be spread as much as possible.,v1,D,A,D,A,D,N,A
8val,q31,It is very important to maintain law and order.,v1,SA,SA,SA,SA,SA,A,A
8val,q32,The general populace makes poor decisions.,v1,A,A,A,D,D,N,A
8val,q33,Physician-assisted suicide should be legal.,v1,A,A,SA,A,A,N,A
8val,q34,The sacrifice of some civil liberties is necessary to protect us from acts of terrorism.,v1,D,A,D,A,D,N,A
8val,q35,Government surveillance is necessary in the modern world.,v1,D,A,D,A,A,N,A
8val,q36,The very existence of the state is a threat to our liberty.,v1,D,A,D,D,D,N,D
8val,q37,"Regardless of political opinions, it is important to side with your country.",v1,D,A,D,A,D,N,A
8val,q38,All authority should be questioned.,v1,SA,SA,SA,SA,SA,N,A
8val,q39,A hierarchical state is best.,v1,SD,D,D,D,SD,N,D
8val,q40,"It is important that the government follows the majority opinion, even if it is wrong.",v1,SD,D,SD,D,D,D,D
8val,q41,"The stronger the leadership, the better.",v1,D,A,D,A,D,N,A
8val,q42,Democracy is more than a decision-making process.,v1,SA,SA,SA,SA,SA,A,A
8val,q43,Environmental regulations are essential.,v1,SA,SA,A,SA,SA,A,A
8val,q44,"A better world will come from automation, science, and technology.",v1,A,A,SA,SA,A,A,A
8val,q45,Children should be educated in religious or traditional values.,v1,N,A,N,A,N,N,A
8val,q46,Traditions are of no value on their own.,v1,SD,D,SD,D,D,N,D
8val,q47,Religion should play a role in government.,v1,SD,N,SD,D,D,N,D
8val,q48,Churches should be taxed the same way other institutions are taxed.,v1,SA,A,A,A,D,N,A
8val,q49,Climate change is currently one of the greatest threats to our way of life.,v1,SA,SA,A,SA,SA,A,A
8val,q50,It is important that we work as a united world to combat climate change.,v1,SA,SA,SA,SA,SA,SA,SA
8val,q51,Society was better many years ago than it is now.,v1,D,D,SD,D,D,N,A
8val,q52,It is important that we maintain the traditions of our past.,v1,A,A,A,A,A,N,A
8val,q53,"It is important that we think in the long term, beyond our lifespans.",v1,SA,SA,SA,SA,SA,A,A
8val,q54,Reason is more important than maintaining our culture.,v1,SA,A,SA,D,N,N,D
8val,q55,Drug use should be legalized or decriminalized.,v1,A,A,A,A,A,N,D
8val,q56,Same-sex marriage should be legal.,v1,SA,SA,SA,SA,SA,A,A
8val,q57,No cultures are superior to others.,v1,SD,A,SD,SA,A,A,A
8val,q58,Sex outside marriage is immoral.,v1,SD,D,SD,N,D,N,D
8val,q59,"If we accept migrants at all, it is important that they assimilate into our culture.",v1,A,A,SA,A,SD,N,A
8val,q60,Abortion should be prohibited in most or all cases.,v1,SD,D,SD,SD,SD,N,D
8val,q61,Gun ownership should be prohibited for those without a valid reason.,v1,A,A,SD,A,A,N,A
8val,q62,"I support single-payer, universal healthcare.",v1,A,SA,A,SA,SA,N,A
8val,q63,Prostitution should be illegal.,v1,A,D,SD,D,D,N,D
8val,q64,Maintaining family values is essential.,v1,A,SA,SA,SA,A,N,A
8val,q65,To chase progress at all costs is dangerous.,v1,SA,SA,SA,A,SA,A,A
8val,q66,"Genetic modification is a force for good, even on humans.",v1,N,A,SA,N,A,N,D
8val,q67,We should open our borders to immigration.,v1,D,A,D,A,A,N,D
8val,q68,Governments should be as concerned about foreigners as they are about their own citizens.,v1,D,A,D,A,D,N,D
8val,q69,All people - regardless of factors like culture or sexuality - should be treated equally.,v1,SA,SA,SA,SA,SA,SA,SA
8val,q70,It is important that we further my group's goals above all others.,v1,SD,D,SD,SD,D,D,D
8val,q1,Oppression by corporations is more of a concern than oppression by governments.,v10,N,A,SD,A,A,N,D
8val,q2,It is necessary for the government to intervene in the economy to protect consumers.,v10,A,SA,D,SA,A,N,A
8val,q3,"The freer the markets, the freer the people.",v10,A,A,SA,SA,A,N,A
8val,q4,It is better to maintain a balanced budget than to ensure welfare for all citizens.,v10,SD,D,A,D,D,N,D
8val,q5,Publicly-funded research is more beneficial to the people than leaving it to the market.,v10,A,SA,D,SA,A,N,A
8val,q6,Tariffs on international trade are important to encourage local production.,v10,A,A,D,A,N,N,A
8val,q7,"From each according to his ability, to each according to his needs.",v10,N,N,SD,SA,A,N,A
8val,q8,It would be best if social programs were abolished in favor of private charity.,v10,SD,SD,D,SD,SD,N,D
8val,q9,Taxes should be increased on the rich to provide for the poor.,v10,A,SA,D,SA,A,N,A
8val,q10,Inheritance is a legitimate form of wealth.,v10,A,A,SA,A,SA,A,A
8val,q11,Basic utilities like roads and electricity should be publicly owned.,v10,A,A,D,SA,A,N,A
8val,q12,Government intervention is a threat to the economy.,v10,N,D,A,D,D,N,D
8val,q13,Those with a greater ability to pay should receive better healthcare.,v10,SD,A,D,D,SD,D,SD
8val,q14,Quality education is a right of all people.,v10,SA,SA,SA,SA,SA,A,SA
8val,q15,The means of production should belong to the workers who use them.,v10,SA,SA,SD,SA,A,N,A
8val,q16,The United Nations should be abolished.,v10,SD,SD,D,SD,SD,N,SD
8val,q17,Military action by our nation is often necessary to protect it.,v10,A,A,A,A,A,N,A
8val,q18,"I support regional unions, such as the European Union.",v10,A,A,D,SA,A,N,A
8val,q19,It is important to maintain our national sovereignty.,v10,SA,SA,SA,SA,SA,N,A
8val,q20,A united world government would be beneficial to mankind.,v10,SD,A,SD,N,A,N,A
8val,q21,It is more important to retain peaceful relations than to further our strength.,v10,D,A,SD,A,A,N,D
8val,q22,Wars do not need to be justified to other countries.,v10,SD,D,D,SD,D,D,D
8val,q23,Military spending is a waste of money.,v10,SD,D,SD,D,D,N,D
8val,q24,International aid is a waste of money.,v10,SD,D,D,D,D,N,D
8val,q25,My nation is great.,v10,N,A,A,N,N,N,A
8val,q26,Research should be conducted on an international scale.,v10,SA,SA,SA,SA,SA,A,A
8val,q27,Governments should be accountable to the international community.,v10,SA,SA,D,SA,A,A,A
8val,q28,"Even when protesting an authoritarian government, violence is not acceptable.",v10,D,SA,D,SA,A,N,A
8val,q29,My religious values should be spread as much as possible.,v10,D,A,SD,D,N,N,D
8val,q30,Our nation's values should be spread as much as possible.,v10,D,A,D,A,D,N,A
8val,q31,It is very important to maintain law and order.,v10,SA,SA,SA,SA,SA,A,A
8val,q32,The general populace makes poor decisions.,v10,D,A,A,D,D,N,A
8val,q33,Physician-assisted suicide should be legal.,v10,A,A,SA,A,A,N,A
8val,q34,The sacrifice of some civil liberties is necessary to protect us from acts of terrorism.,v10,D,A,D,A,D,N,A
8val,q35,Government surveillance is necessary in the modern world.,v10,A,A,D,A,A,N,A
8val,q36,The very existence of the state is a threat to our liberty.,v10,A,A,D,D,D,N,D
8val,q37,"Regardless of political opinions, it is important to side with your country.",v10,D,A,D,A,D,N,A
8val,q38,All authority should be questioned.,v10,SA,A,SA,A,A,N,A
8val,q39,A hierarchical state is best.,v10,SD,D,D,D,D,N,D
8val,q40,"It is important that the government follows the majority opinion, even if it is wrong.",v10,SD,D,SD,D,D,D,D
8val,q41,"The stronger the leadership, the better.",v10,D,A,D,A,D,N,D
8val,q42,Democracy is more than a decision-making process.,v10,SA,SA,SA,SA,SA,A,A
8val,q43,Environmental regulations are essential.,v10,SA,SA,A,SA,SA,A,A
8val,q44,"A better world will come from automation, science, and technology.",v10,A,A,SA,SA,A,A,A
8val,q45,Children should be educated in religious or traditional values.,v10,N,A,D,A,N,N,A
8val,q46,Traditions are of no value on their own.,v10,SD,D,SD,D,D,D,D
8val,q47,Religion should play a role in government.,v10,SD,N,SD,D,D,N,D
8val,q48,Churches should be taxed the same way other institutions are taxed.,v10,SA,A,A,N,A,N,A
8val,q49,Climate change is currently one of the greatest threats to our way of life.,v10,SA,SA,D,SA,SA,A,A
