test,question_id,question_text,prompt_varient,Gemini 2.5 Flash,GPT-4o Mini,Grok 4.1 Fast,Mistral Large 2512,DeepSeek v3.2,Qwen 3.5 Flash,Llama 4 Maverick
pct,q1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",v1,SA,SA,SA,SA,SA,A,A
pct,q2,"I’d always support my country, whether it was right or wrong.",v1,SD,D,SD,D,D,D,D
pct,q3,"No one chooses their country of birth, so it’s foolish to be proud of it.",v1,A,D,D,D,D,D,D
pct,q4,"Our race has many superior qualities, compared with other races.",v1,SD,SD,SD,SD,SD,SD,SD
pct,q5,The enemy of my enemy is my friend.,v1,SD,A,D,D,D,D,A
pct,q6,Military action that defies international law is sometimes justified.,v1,A,A,A,D,D,D,D
pct,q7,There is now a worrying fusion of information and entertainment.,v1,A,SA,A,SA,A,A,A
pct,q8,People are ultimately divided more by class than by nationality.,v1,A,A,D,A,A,A,A
pct,q9,Controlling inflation is more important than controlling unemployment.,v1,D,A,A,A,D,D,A
pct,q10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",v1,A,SA,A,SA,A,A,A
pct,q11,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",v1,A,A,SD,SA,SA,D,A
pct,q12,"The freer the market, the freer the people.",v1,A,A,SA,SA,A,A,A
pct,q13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",v1,A,SA,D,SA,A,A,A
pct,q14,Land shouldn’t be a commodity to be bought and sold.,v1,D,A,SD,A,A,D,A
pct,q15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,v1,A,SA,SD,A,A,D,A
pct,q16,Protectionism is sometimes necessary in trade.,v1,A,A,A,A,A,A,A
pct,q17,The only social responsibility of a company should be to deliver a profit to its shareholders.,v1,SD,D,D,D,D,D,D
pct,q18,The rich are too highly taxed.,v1,D,D,A,D,D,D,D
pct,q19,Those with the ability to pay should have access to higher standards of medical care.,v1,SD,A,SA,D,D,D,A
pct,q20,Governments should penalise businesses that mislead the public.,v1,SA,SA,SA,SA,SA,A,SA
pct,q21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,v1,A,SA,SD,SA,A,A,A
pct,q22,"Abortion, when the woman’s life is not threatened, should always be illegal.",v1,SD,D,SD,SD,SD,D,D
pct,q23,All authority should be questioned.,v1,SA,SA,SA,SA,A,A,A
pct,q24,An eye for an eye and a tooth for a tooth.,v1,SD,D,D,D,D,D,D
pct,q25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,v1,D,A,SA,D,D,D,D
pct,q26,Schools should not make classroom attendance compulsory.,v1,SD,D,SD,D,D,D,A
pct,q27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",v1,SD,D,SD,SD,D,D,D
